id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Mọi thông tin đều có trong context, không bịa thêm gì",5,"Trả lời trực tiếp, đầy đủ, đúng trọng tâm câu hỏi",5,Retrieved: 1/1 expected sources,4,Câu trả lời đã cung cấp thông tin về thời gian xử lý nhưng thiếu thông tin về thời gian phản hồi ban đầu. | Thiếu: thời gian phản hồi ban đầu,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Mọi thông tin đều có trong context, không bịa thêm gì.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Câu trả lời đầy đủ và chính xác, bao gồm tất cả thông tin quan trọng từ đáp án mẫu.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",4,"Câu trả lời gần như hoàn toàn đúng, nhưng thiếu thông tin về việc phê duyệt của IT Security cho Level 3.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,Câu trả lời đã bao gồm đầy đủ tất cả các điểm quan trọng trong đáp án mẫu.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"Câu trả lời gần như hoàn toàn grounded, nhưng không đề cập rõ ràng rằng sản phẩm kỹ thuật số không được hoàn tiền trừ khi có lỗi do nhà sản xuất.",5,"Câu trả lời trực tiếp và đầy đủ, rõ ràng về chính sách hoàn tiền đối với sản phẩm kỹ thuật số.",5,Retrieved: 1/1 expected sources,3,"Câu trả lời thiếu thông tin quan trọng về chính sách hoàn tiền và không nhấn mạnh rằng sản phẩm kỹ thuật số là ngoại lệ không được hoàn tiền. | Thiếu: chính sách hoàn tiền, sản phẩm kỹ thuật số là ngoại lệ không được hoàn tiền",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Mọi thông tin đều có trong context, không bịa thêm gì",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Câu trả lời đầy đủ và chính xác, bao gồm tất cả thông tin quan trọng từ đáp án mẫu.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, nếu cần cấp quyền tạm thời để khắc phục sự cố, On-call IT Admin có thể cấp quyền này (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Mọi thông tin đều có trong context, không bịa thêm gì.",5,"Câu trả lời trực tiếp, đầy đủ và đúng trọng tâm về quy trình escalation trong sự cố P1.",5,Retrieved: 1/1 expected sources,4,Câu trả lời đã cung cấp thông tin chính xác về việc escalation nhưng thiếu chi tiết về việc ticket P1 tự động escalate lên Senior Engineer. | Thiếu: Thông tin về việc ticket P1 tự động escalate,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Abstain response — faithfully grounded (no hallucination),1,Không trả lời câu hỏi và hoàn toàn lạc đề.,5,Retrieved: 1/1 expected sources,1,"Câu trả lời không cung cấp thông tin nào liên quan đến tài liệu Approval Matrix, do đó thiếu phần lớn nội dung cần thiết. | Thiếu: Tên tài liệu hiện tại, Tên mới của tài liệu",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Mọi thông tin đều có trong context, không bịa thêm gì",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,4,Câu trả lời đã cung cấp thông tin chính xác về số ngày làm remote nhưng thiếu thông tin về việc cần có sự phê duyệt của Team Lead. | Thiếu: điều kiện được Team Lead phê duyệt,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstain response — faithfully grounded (no hallucination),1,Không trả lời câu hỏi về lỗi ERR-403-AUTH và cách xử lý.,,No expected sources,2,"Câu trả lời không cung cấp thông tin cụ thể về lỗi ERR-403-AUTH và cách xử lý, chỉ nói là 'không đủ dữ liệu'. | Thiếu: không đề cập đến lỗi liên quan đến xác thực, không đề cập đến việc liên hệ IT Helpdesk",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,Abstain response — faithfully grounded (no hallucination),1,Không trả lời câu hỏi và thiếu thông tin cần thiết.,5,Retrieved: 1/1 expected sources,1,"Câu trả lời không cung cấp thông tin cần thiết để so sánh với đáp án mẫu, thiếu hầu hết nội dung quan trọng. | Thiếu: không đề cập đến chính sách hoàn tiền cho khách hàng VIP, không nêu rõ quy trình hoàn tiền tiêu chuẩn",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Mọi thông tin đều có trong context, không bịa thêm gì.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về SLA xử lý ticket P1.",5,Retrieved: 1/1 expected sources,5,Câu trả lời đã bao gồm đầy đủ cả hai điểm quan trọng: SLA phản hồi ban đầu và thời gian xử lý.,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Mọi thông tin đều có trong context, không bịa thêm gì.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Câu trả lời đầy đủ và chính xác, bao gồm tất cả thông tin quan trọng từ đáp án mẫu.",variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Line Manager, IT Admin và IT Security phải phê duyệt để cấp quyền Level 3 [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"Câu trả lời không chính xác vì chỉ có Line Manager và IT Admin phê duyệt cho Level 2, không có thông tin nào cho thấy IT Security phê duyệt cho Level 3.",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,Câu trả lời đã bao gồm đầy đủ tất cả các điểm quan trọng trong đáp án mẫu.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"Câu trả lời gần như hoàn toàn grounded, nhưng chưa đề cập rõ ràng rằng sản phẩm kỹ thuật số không được hoàn tiền trừ khi có lỗi do nhà sản xuất và yêu cầu hoàn tiền được gửi trong vòng 7 ngày.",5,"Câu trả lời trực tiếp và đầy đủ, rõ ràng về chính sách hoàn tiền đối với sản phẩm kỹ thuật số.",5,Retrieved: 1/1 expected sources,3,"Câu trả lời thiếu thông tin quan trọng về chính sách hoàn tiền và không nhấn mạnh rằng sản phẩm kỹ thuật số là ngoại lệ không được hoàn tiền. | Thiếu: chính sách hoàn tiền, sản phẩm kỹ thuật số là ngoại lệ",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Mọi thông tin đều có trong context, không bịa thêm gì",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,5,"Câu trả lời đầy đủ và chính xác, bao gồm tất cả thông tin quan trọng từ đáp án mẫu.",variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút kể từ khi ticket được tạo. Quy trình này đảm bảo rằng sự cố được xử lý kịp thời và hiệu quả [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Mọi thông tin đều có trong context, không bịa thêm gì.",5,"Câu trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi về quy trình escalation trong sự cố P1.",5,Retrieved: 1/1 expected sources,5,Câu trả lời đã bao gồm đầy đủ thông tin quan trọng từ đáp án mẫu và diễn đạt rõ ràng quy trình escalation.,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,Abstain response — faithfully grounded (no hallucination),1,Không trả lời câu hỏi và hoàn toàn lạc đề.,5,Retrieved: 1/1 expected sources,1,"Câu trả lời không cung cấp bất kỳ thông tin nào liên quan đến tài liệu Approval Matrix, do đó thiếu phần lớn nội dung cần thiết. | Thiếu: Tên tài liệu hiện tại, Tên tài liệu cũ",variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Mọi thông tin đều có trong context, không bịa thêm gì",5,"Trả lời trực tiếp, đầy đủ và đúng trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,4,Câu trả lời đã cung cấp thông tin chính xác về số ngày làm remote nhưng thiếu thông tin về điều kiện phê duyệt từ Team Lead. | Thiếu: điều kiện được Team Lead phê duyệt,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,Abstain response — faithfully grounded (no hallucination),1,Không trả lời câu hỏi về lỗi ERR-403-AUTH và cách xử lý.,,No expected sources,2,"Câu trả lời không cung cấp thông tin cốt lõi về lỗi ERR-403-AUTH và cách xử lý. | Thiếu: không đề cập đến lỗi liên quan đến xác thực, không có hướng dẫn liên hệ IT Helpdesk",variant_hybrid_rerank
